placenum,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
1,요가쿨라,서울 마포구 와우산로29마길 24-1 2층,0507-1404-2620,가격표 사진을 올려주세요.추가,홍대요가쿨라는 홍대인근에서 가장 오랫동안 요가원으로 자리 잡은 곳으로 국내뿐만 아니라 세계적으로도 많은 요가 수업을 진행하고 있으며 입소문으로 많은 선생님들도 요가를 배우러 찾아오는 곳입니다.  건물 숲을 벗어난 듯한 아름다운 공간에서 다양한 수업과 따뜻한 선생님들이 단순히 건강만을 위한 운동으로서가 아니라 평생의 친구처럼 함께할 수 있는 수련이 될 수 있도록 안내할 것입니다.   등록하시면 시간과 요일 구애받지 않고 편안한 시간에 언제든지 수련 가능합니다.,,"['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_204%2F15782353420103tQj2_JPEG%2Fygjdh2r16CFBY6brWh9rntXu.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200106_155%2F1578271324494ICuzA_JPEG%2FsWhr7lSy-ltxLSKtQ2N_X2UX.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_89%2F1578235366150qB4rL_JPEG%2FPmWBhmDf5RTZTfaxXgm8RI9u.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210531_292%2F1622472129884ydOBC_JPEG%2Fupload_8f28c0ec41db2ac642b5c9c3a15cda59.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210531_283%2F1622472134039OCPFQ_JPEG%2Fupload_f09bcc76a6878f5d4c24322f66e4ffc9.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210531_139%2F1622472134630x1lPA_JPEG%2Fupload_fe24fe7be44a7a2540e47c7b7befd2fd.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20201222_101%2F1608616767641gIxOO_JPEG%2Fupload_d01e30d19136227f298f6b317b0014de.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_208%2F1578235379397ckcon_JPEG%2FNs00WfNtW34gEdXO8-rLMre_.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_125%2F15782353894072EEmU_JPEG%2FiBC9p5CaakSoq-rcijfLwXHY.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_37%2F1578235395885kF6zc_JPEG%2FXaLAjaAP2uajyjhObEaA3WqW.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_172%2F1578235399834HRwbQ_JPEG%2FAWEzbeKIBIvAcW7mjMOfclTx.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_162%2F1578235404076NbEMU_JPEG%2Faf2jI87KAE8j-bVsAn2kesO_.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_192%2F1578235416958XK39T_JPEG%2FGfJEIyf7spvqyLAkRawLJaV7.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_53%2F1578235437039JVcwR_JPEG%2FE5gTqt2kuOJj8Ex6prA2MqP_.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_221%2F1578235460240kIxhU_JPEG%2FZC9FZFHwhgHyMfmDE9DbnE1q.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_201%2F1578236222822pWMEU_JPEG%2FQ9hN_INNdcZxIBplZ6oifXEY.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200106_261%2F1578271355642ggHAb_JPEG%2F6Wo6Noeh3aS1m7ilcPDIND0E.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200106_154%2F1578271360452t84P7_JPEG%2F78fuSPZnZXWJxoKYd_sJVz0b.jpg']"
2,M요가&필라테스스튜디오 마포점,서울 마포구 토정로 320 주원빌딩 5층,02-704-5255,상담변동,"안녕하세요. M요가&필라테스 원장입니다. 코로나 바이러스가 종식되는 날까지 청정구역으로 유지하겠습니다.

- 우리 요가원은 오픈이래 5년 간 메르스/눈병/독감 등의 발병과 전염이 단 한번도 일어난 적 없는, 위생관리/인적관리가 엄격한 곳입니다. 
- 현재 1일 3회씩 알콜로, 손잡이 등 모든 손길이 닿는 비품을 운영자가 직접 소독합니다.
- 단순감기미열자, 확진자동선방문자, 해외입국자 및 가족 등 위험요소가 있는 모든 분들 격리 중이며, (이를 어길 시 퇴출 및 인적정보를 국가기관에 보고할 것입니다)
- 주1회 방역업체를 통해 건물내 주기적으로 소독합니다.
- 손소독제, 매트세정제, 마스크 제공합니다.
- 믿고 수련오시기 바랍니다.


[플라잉 요가, 남성요가, 아쉬탕가, 필라테스, 임산부 요가를 모두 정석대로 지도합니다!]

* 운영자가 요가/필라테스 전문가로 직접 상담부터 수업까지 참여
* 해부학 이수/ 인도마이솔연수/ 지도자교육 출신 시니어 강사진 7명 
* MBC,JTBC,M.net 등 방송/잡지 출연 및 인터뷰
* 국가대표선수 및 연예인 지도
* 현대인 체형결함(일자목,척추측만,내장비만) 교정 전문
* 초보자를 위한 단계별 접근법 핸즈온
* 초미세먼지 청정 + 봄가을 온도 + 습도 유지
* 플라잉 레벨별, 체계적 동작개발센터
* 노출 천장과 한강 전망 스튜디오

마포플라잉요가 마포요가 마포m요가 공덕요가 공덕필라테스","['평일 09:30 - 23:00', '토요일 09:30 - 14:00 (일요일 및 공휴일 휴관)']","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210530_260%2F1622363928025xkjht_JPEG%2FMB9_GUvAi-CVJ4gUPrbqXR1U.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210530_40%2F1622363942089GF5VS_JPEG%2FAxsqrmF-Sgj_zESQx_CcSwPz.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210530_146%2F1622363915402Ci1Om_JPEG%2Fo9nhhrJfvglIbCh6-qW0Uj5U.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_9%2F1591451518762IC4i7_JPEG%2FWHpUFXdL-QYLyALmIqATT2p8.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_119%2F1591442950286VBp0p_JPEG%2FqDDr6IXstuL91CG_CKwPvqtM.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_37%2F1441078125966fT46l_JPEG%2FSUBMIT_1431344228330_36480763.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_107%2F1591442447412zR7Nl_JPEG%2FGSgnwUyk7w_IoeIYp5KO9_tW.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200607_108%2F159151924617789SMg_JPEG%2F1whrKwAZwc1dpNX3Jp_Zizbr.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_125%2F1612780070186DiUhu_JPEG%2FupS2FFoAokSuRv7MOWhAFXiN.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210216_36%2F1613462554707uyMrc_JPEG%2FAG65g_ICNgSoPKN8-L3sWegB.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_52%2F1591442612140mw1Pk_JPEG%2FkSArT79OsOKZqhg8rtKdSBf1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_129%2F1441078125325q4VFv_JPEG%2FSUBMIT_1431344229269_36480763.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_92%2F1591443030988n8CpF_JPEG%2FXdw5STzcoJfWZ7mKz1EkS5Sr.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_214%2F1612780052393n5C0Y_JPEG%2FDt62QNQbivSpggJecbE6wmK7.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_294%2F15974887931809gtrL_JPEG%2Fh3SgHTDcgiqmfvMA-bxyJOgz.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190420_59%2F1555704675677HlKsF_JPEG%2FjrGhkCUR3-3ZKJks8n7ghoYo.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_225%2F15974888905738VYzW_JPEG%2Fk1Yh2WAtyRGSC5CRkVdBcZAn.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_63%2F1612780088651z5Dmh_JPEG%2FROdJBuIeDNzStkIT_BcZ54Qf.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_21%2F1612780097403ik3vi_JPEG%2FCOCgan-8fXcdp2WdvX8MPWQ_.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200323_113%2F1584950305562POpsH_PNG%2F7RA6RmsBKM47o2EbKdxLnE92.png', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190420_299%2F1555704702253H5QlI_JPEG%2F4EO54KlqxPy1vuvssfDbZs_v.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_219%2F1612780042406ccQxE_JPEG%2FqUX7dy_O2BCxvQLzVnwr9zwr.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191219_226%2F1576758098604Mb2J8_JPEG%2Fimage.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_80%2F15914430020061hJHH_JPEG%2FS2aR1eqSFTGHMh5EdDJsGN-q.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_91%2F1591442710446ejT6A_JPEG%2FcmIYOZ_TmhaFmsp5MtW9Fjuh.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_46%2F16127801382344IFj6_JPEG%2Fzu3wNNNoAia45f12YhZiGzO6.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_58%2F1597488811977nfybJ_JPEG%2FniM3bI7-aRPMNcDUgmkKbDd0.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_74%2F14410781268958aqPl_JPEG%2FSUBMIT_1432100420154_36480763.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200606_9%2F1591442912222SEgkF_JPEG%2FVs56NKSmbTLR05p8oXM9wuQx.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_1%2F15974883846480Sxjn_JPEG%2FElQ4avZj1WGaNLr7kMOG5e70.jpg']"
3,아메리카요가 홍대점,서울 마포구 양화로 166 미래프라자 12층,02-336-9444,"단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이","대한민국 NO.1 요가센터 아메리카요가는 전국 50여개의 요가센터를 운영하며, 대한민국의 요가산업을 선두로 이끌어나가는 요가센터입니다. 홍대점은 국내유일 스카이뷰 여성전용 요가전문센터로 15종류 다양한 요가 & 플라잉요가 & 필라테스 를 모두 즐겨보실 수 있습니다. 우수한 강사진으로 수업 만족도 1위, 높은 출석율을 유지하고 있으며 다이어트, 체형교정, 심신의 건강, 스트레스 해소 등 회원님들과 함께 요가를 통해 건강한 아름다움을 만들어가고 있습니다. 감사합니다.","['평일 07:00 - 23:00', '토요일 08:30 - 13:00']","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210831_113%2F1630395372693tr7Qr_PNG%2F%2528%25B3%25D7%25C0%25CC%25B9%25F6%2529%25C8%25AB%25B4%25EB%25C1%25A1_9%25BF%25F9_%25BD%25C3%25B0%25A3%25C7%25A5.png', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210819_44%2F1629350413609J8JIT_JPEG%2F%25C0%25CE%25BD%25BA%25C5%25B8_%25C7%25C1%25BB%25E7.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_249%2F15731124395147SJKV_JPEG%2FSHLe_DeJ-LucQuWmXb3bm8Uf.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210819_3%2F1629351538970uJdmd_JPEG%2Fupload_0e5829884af1ef30e3369efae49d951a.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20210314_86%2F1615728507559QnjLo_JPEG%2Fimage.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_155%2F1573112439670FxzSY_JPEG%2Fz8Waw6aW7-oB-4FA9-FqEvAh.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_74%2F1573112439593AxWFb_JPEG%2FKCenvxbhQ5nb1voYjbTObhXP.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_12%2F1573112439602Q8uqV_JPEG%2F6uwZ7oYUe1ftFLEx1F6Yl-Hw.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_61%2F1573112439527VSz0P_JPEG%2FuiND36bowYGmpFV5Fx0-H_HA.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200911_226%2F1599802219680fyCMK_JPEG%2Fimage.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_275%2F1573112439274nrFxm_JPEG%2FKt_CxFbttAbdwLnmeBb7J3zN.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_272%2F1573112423544yJF8i_JPEG%2F3AF_WF2Vt94TCXTPZQ4CSIOO.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_293%2F1573112439183868Ki_JPEG%2FK9z2Bwtz5h0eIPM3KXl1GORf.jpg']"
4,요가필드,서울 마포구 독막로8길 16 2F,02-6338-5949,,"분야별 전문 선생님들의 수업들로 구성되어 있어 남녀노소, 초보자분 부터 숙련자분들까지 수강 가능합니다. 
합리적인 가격에 시간대별 다양한 수업으로 여러분의 편의를 돕고자 최선을 다합니다. 
환기시설 및 채광이 좋으며 넓고 깔끔한 스튜디오에서 올바른 뱡향의 정통요가를 만나보세요.
모던하면서도 편안하며 누구에게나 열려있는 요가 스튜디오! 별도의 예약없이 편하게 이용 해 보세요.  

Gentle Vinyasa, Vinyasa - 구슬희 선생님
Yin, Ashtanga - 조하나 선생님
Therapy, Healing - 김진영 선생님
Yin, Ashtanga - 엄세희 선생님
Hatha - 김하윤 선생님
요가 해부학 - 김서휘 선생님
명상 - 디아 선생님
요가의 역사와 철학 - Joon 선생님

요가는 인도에서 유례 했지만 현재 미국, 유럽 및 세계 많은 나라에서 사랑 받고 있으며, 
Modern Yoga는 현대인에게 적절한 형태로 발전되어 보다 나은 체계를 갖추었습니다. 
많은 운동량을 바탕으로 근력을 사용함으로써 다이어트, 건강관리 및 스트레스 해소에 아주 효과적입니다. 
또한 명상과 호흡으로 자신을 들여다보고 알아차리는 시간을 가짐으로써 현대인의 스트레스를 완화시켜주며, 건강을 지켜 드립니다. 

Peace be with you.","['주말 09:30 - 13:30', '평일 07:00 - 22:30']","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171230_236%2F1514597179766ILr19_JPEG%2FiG6EBVXg4xiw1ZV3hSBkbZS8.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190428_14%2F1556414516033a01ff_JPEG%2FfodZZ5G0L-GNBEuWIocimuYp.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171230_111%2F1514597195877BGc5I_JPEG%2F3HkW7Kkh2JbvAGQlOOnEs8OY.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210826_81%2F162998752235032bB5_JPEG%2Fupload_83881b7589ab1a2d299cc8c5176927ba.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210525_202%2F1621908578428RnsvW_JPEG%2Fupload_c3e8d3afb0b12f485a718c8cb39136b7.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210511_167%2F16206966370556dSRO_JPEG%2Fupload_3e882906925f8876e1786dbc2e17af29.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210701_112%2F1625131091968uiBM6_JPEG%2F8B05H2LnHbES7D5o5ulFgwti.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210701_239%2F1625118047276rU45S_JPEG%2Fljb26DR0iFENhRIkht9pVjGh.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190427_126%2F1556332989486GbBaf_JPEG%2Fz6aA7L_8ByIOPJd2tnbV4R0u.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210507_64%2F1620373505741LmrIf_JPEG%2Fupload_61a3a494f89cb5d1c4d62e0b54ecf920.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210427_168%2F1619513199772xOqdQ_JPEG%2Fupload_6f92bacfebdcacceb04d3731c64a166d.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210331_244%2F16171728126772Knyt_JPEG%2Fupload_858b9686bea8b879054a45dc3390dce1.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190617_65%2F1560760792416F241c_JPEG%2FnhZLr9AxRJvP-VctUPCkuyiL.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161123_78%2F1479896026576VALIw_JPEG%2F177073594364225_3.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161130_229%2F1480513005019erwh9_JPEG%2F177080626664837_3.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210319_110%2F16161509800156XI4F_JPEG%2Fupload_8f0e5245e617c93fba1915c649ccbc2d.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210311_294%2F1615461017580JYs1o_JPEG%2Fupload_1c656abf60ac3980b0b39d0f4d5b4cf9.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210128_184%2F16118229431660horX_JPEG%2Fupload_b85f667e4a49339ce1f080f2d79c3b29.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190619_167%2F1560919064018t8ygS_JPEG%2FDZYij04SZf0g-HXBgaBywLQG.jpeg.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200207_38%2F1581075496372mf83n_JPEG%2F_vlXvK1jVmg9LtKsdRelj4Dw.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190428_273%2F1556414455366ob86H_JPEG%2FV0whPSF61GtjfSGU7rzw2cSn.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20200506_21%2F1588767063831bzkaY_JPEG%2Fupload_f71026188220bcac3c1d189cde99f69c.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20200411_160%2F15865904895189A7IX_JPEG%2Fupload_8c726591d36f997da7202ea1112f1ca3.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20200411_76%2F1586590499911vjpds_JPEG%2Fupload_e007f4cd2b6e23089c8050aaca31ec26.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20191118_274%2F1574075049312z9BnR_JPEG%2Fimage.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190517_190%2F1558083751489ANnAr_JPEG%2FPeVhxeJhXafgzEHRItwcEZDm.JPG.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190519_13%2F15582394359318cYaQ_JPEG%2FZeJDhHMyF75JIXdvHTgsQ1oA.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190428_108%2F1556414381085IU3dU_JPEG%2FgxmYYXrDExlVxkRKCo6Dzhzz.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20191114_216%2F1573734548309s3xmY_JPEG%2Fimage.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f180_180&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190517_98%2F1558083750793DM5hn_JPEG%2FWj-MvzdX3tkxnbdr6UACbD-U.jpg']"
